team_id,game_length,fouls_committed,fouls_3q_committed,opp_tib,opp_3q_tib,ft_allowed,ft_3q_allowed,fouls_against,fouls_3q_against,own_tib,own_3q_tib,ft_gained,ft_3q_gained,win,opp_percent_tib,own_percent_tib,opp_percent_3q_tib,own_percent_3q_tib,game_id,off_points_p,off_poss_p,def_points_p,def_poss_p,off_points_np,off_poss_np,def_points_np,def_poss_np
1610612747,2880,22,17,863,639,6,4,22,17,954,756,6,4,1,0.29965277777777777,0.33125,0.29583333333333334,0.35,0022000008,55,37.98592,32,33.88672,83,60.16064,83,64.14272
1610612742,2880,22,17,954,756,6,4,22,17,863,639,6,4,0,0.33125,0.29965277777777777,0.35,0.29583333333333334,0022000008,32,33.88672,55,37.98592,83,64.14272,83,60.16064
1610612743,2880,19,18,428,402,10,10,28,24,1392,1073,12,12,0,0.1486111111111111,0.48333333333333334,0.18611111111111112,0.49675925925925923,0022000009,53,49.775999999999996,24,16.2016,55,45.52064,97,75.11296
1610612746,2880,28,24,1392,1073,12,12,19,18,428,402,10,10,1,0.48333333333333334,0.1486111111111111,0.49675925925925923,0.18611111111111112,0022000009,24,16.2016,53,49.775999999999996,97,75.11296,55,45.52064
1610612763,2880,25,17,896,680,16,8,18,13,640,491,8,6,0,0.3111111111111111,0.2222222222222222,0.3148148148148148,0.2273148148148148,0022000021,33,27.60128,44,34.16,79,76.59648,78,70.97471999999999
1610612737,2880,18,13,640,491,8,6,25,17,896,680,16,8,1,0.2222222222222222,0.3111111111111111,0.2273148148148148,0.3148148148148148,0022000021,44,34.16,33,27.60128,78,70.97471999999999,79,76.59648
1610612766,2880,21,14,560,503,10,2,21,13,777,467,6,0,0,0.19444444444444445,0.26979166666666665,0.23287037037037037,0.2162037037037037,0022000022,40,30.29504,35,24.43904,67,74.21504,74,78.58752
1610612760,2880,21,13,777,467,6,0,21,14,560,503,10,2,1,0.26979166666666665,0.19444444444444445,0.2162037037037037,0.23287037037037037,0022000022,35,24.43904,40,30.29504,74,78.58752,67,74.21504
1610612765,3480,19,11,338,155,0,0,22,14,770,497,6,4,0,0.09712643678160919,0.22126436781609196,0.07175925925925926,0.2300925925925926,0022000023,36,30.41216,13,14.483839999999999,83,90.68992,115,105.75936
1610612739,3480,22,14,770,497,6,4,19,11,338,155,0,0,1,0.22126436781609196,0.09712643678160919,0.2300925925925926,0.07175925925925926,0022000023,13,14.483839999999999,36,30.41216,115,105.75936,83,90.68992
1610612764,2880,25,18,1409,1056,8,4,20,17,532,462,4,4,0,0.4892361111111111,0.18472222222222223,0.4888888888888889,0.21388888888888888,0022000024,24,26.9376,63,53.05535999999999,96,85.61472,67,54.0704
1610612753,2880,20,17,532,462,4,4,25,18,1409,1056,8,4,1,0.18472222222222223,0.4892361111111111,0.21388888888888888,0.4888888888888889,0022000024,63,53.05535999999999,24,26.9376,67,54.0704,96,85.61472
1610612752,2880,23,15,946,619,8,6,19,15,521,404,0,0,0,0.3284722222222222,0.18090277777777777,0.2865740740740741,0.18703703703703703,0022000025,21,21.003519999999998,43,32.24704,68,72.8096,66,63.08864
